cerl_control_number|title|publication_year|language_primary|publication_place|publication_country|publisher
1885574|The Plays Of William Shakspeare|1826|English|London|England|Jones
1885575|The Dramatic Works Of William Shakspeare|1825|English|London|England|Cowie And Co.;Saunders And Otley
1885586|The dramatic works of Shakspere|1800|English|Brunsvick|NA|NA
1885620|Shakespeare's King Richard III|1818|English|London|England|Rodwell
1886889|König Lear|1778|German|Hamburg|Germany|Michaelsen
1890400|Roméo et Juliette|1771|French|Paris|France|LeJay
1891227|Hamlet, Prinz von Dännemark|1778|German|Hamburg|Germany|Herold
1895205|The dramatic works of shakespeare from the text of Johnson, Steevens and Reed|1830|English|Leipzig|Germany|Fleischer
1897609|Bell's Edition Of Shakespeare's Plays, As they are now performed at the Theatres Royal in London|1774|English|London|England|Bell [u.a.]
1899162|Mr. William Shakespeare his comedies, histories, and tragedies|1767|English|London|England|Tonson
1900004|The Dramatick Writings Of Shakspere|1788|English|London|England|Bell
1900023|The Plays Of Shakspeare|1803|English|London|England|Johnson [u.a.]
1900049|The Plays and Poems Of William Shakspeare|1821|English|London|England|Rivington [u.a.]
1900629|The Plays of William Shakspeare|1811|English|London|England|Nichols and Son;Rivington;Stockdale [u.a.]
1900995|The Plays Of William Shakspeare|1778|English|London|England|Bathurst, Strahan, Rivington, Hinton; Davis [u.a.]
1901419|Lustspiel der Irrungen|1825|German|Vienna|Austria|Sollinger
1901428|The Plays of William Shakespeare|1823|English|London|England|Rivington [u.a.]
1901429|The Plays of William Shakespeare|1823|English|London|England|Rivington [u.a.]
1903632|Shakspeare's dramatische Werke. Übersetzt von August Wilhelm Schlegel|1821|German|Berlin|Germany|Reimer
1904106|The dramatic works of William Shakspeare|1826|Undetermined|London|England|Whittingham
1905644|As you like it|1755|English|London|England|J. and R. Tonson and S. Draper
1907073|The comedy of errors|1734|English|London|England|J. Tonson
1907133|Othello und König Lear|1806|German|Jena|Germany|F. Frommann
1907137|King Lear|1800|English|Manchester|England|Printed and sold by R. & W. Dean & Co.; [etc., etc.]
1910214|The plays of William Shakespeare|1803|English|London|England|Printed by T. Bensley, for Wynne and Scholey
1913455|Mr. William Shakespear's comedies, histories, and tragedies|1685|English|London|England|Printed for H. Herringman, E. Brewster, and R. Bentley
1915825|The tempest, or, The enchanted island|1674|English|London|England|Printed by T.N. for Henry Herringman, at the Blew Anchor in the Lower Walk of the New-exchange
1915967|Measure for measure|1709|English|London|England|NA
1921064|Antonius och Cleopatra. Skådespel af William Shakspeare. Öfversättning. Af Joh. Henr. Thomander. Stockholm, Georg Scheutz, 1825|1825|Swedish|Stockholm|Sweden|Scheutz)
1921562|Measure for measure|1734|English|London|England|J. Tonson
1924222|The works of Shakespeare|1762|English|London|England|NA
1925863|The plays|1780|English|London|England|Bathurst, Strahan, Rivington, Hinton; Davis [u.a.]
1925979|Cymbeline. Timon of Athens. Othello|1809|English|London|England|Vernor, Hood and Sharpe : Taylor and Hessey
1927072|The dramatic works of William Shakspeare|1826|Undetermined|London|England|Whittingham
1933059|Willhelm Shakespears Schauspiele|1779|German|Frankfurt|Germany|Gegel
1937173|Mr. William Shakespeare's comedies, histories and tragedies, published according to the true original copies. Unto which is added, seven plays, never before printed in folio|1685|Undetermined|London|England|NA
1938134|Hamlet, Prinz von Dännemark|1777|German|Hamburg|Germany|Herold
1938555|The history of King Lear|1759|English|London|England|Hitch and Hawes [u.a.]
1938622|The Plays Of Shakspeare|1803|English|London|England|Johnson [u.a.]
1938627|The Plays of William Shakspeare|1811|English|London|England|Nichols and Son;Payne [u.a.];Rivington
1938837|Shakespeare|1776|French|Paris|France|Auteur;Duchesne; Musier; Nyon; La Combe; Ruault; Le Jay; Clousier
1939631|The Plays Of William Shakspeare|1778|English|London|England|Bathurst, Strahan, Rivington, Hinton; Davis [u.a.]
1940050|König Heinrich der Vierte|1825|German|Vienna|Austria|Sollinger
1940086|Will. Shakespeares Macbeth|1826|German|Berlin|Germany|Duncker u. Humblot
1940087|Le more de Venise Othello|1830|French|Paris|France|Levasseur
1940088|Romeo et Giulietta|1814|Italian|Firenze|Italy|Marenigh
1940125|Der Sturm, oder die bezauberte Insel|1780|German|Vienna|Austria|Gerold
1943725|William Shakespeare's Schauspiele|1802|German|Zürich|Germany|Orell, Füßli & Co
1944883|Ludwig Tieck's Sämmtliche Werke. Bd. 22, Alt-Englisches Theater, oder Supplemente zum Shakspear / uebers. u. hrsg. von Ludwig Tieck|1820|Undetermined|Vienna|Austria|Grund
1964540|Tragedia en cinco actos|1816|Spanish|Valencia|Spain|en la imprenta de Ildefonso Mompié
1979088|The Plays of William Shakspeare|1811|English|London|England|Nichols and Son;Rivington;Stockdale [u.a.]
1985241|Coriolanus. Winter's tale|1821|English|London|England|Rivington [u.a.]
1986189|Kunst über alle Künste, Ein bös Weib gut zu machen|1672|German|Hamburg|Germany|Liebler
1986329|Hamlet|1798|Undetermined|Madrid|Spain|Oficina de Villalpando
1988759|Shakspeare's Sämmtliche Schauspiele|1829|German|Gotha|Germany|Hennings
1997036|The works of Shakespear. In eight volumes. Collated and corrected by the former editions, by Mr. Pope|1726|English|Dublin|Ireland|NA
1998660|The dramatic works of Shakspeare printed from the text of Samuel Johnson, George Steevens and Isaac Reed. Complete in one volume|1824|English|Leipzig|Germany|printed for Ernst Fleischer
2000172|The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald|1757|English|London|England|printed for C. Hitch and L. Hawes : H. Lintot : J. and R. Tonson : J. Hodges : B. Dod : J. Rivington : M. and T. Longman : J. Brindley : C. Corbet, and T. Caslon
2010465|Comedy of errors|1785|English|London|England|Printed for, and under the direction of John Bell, British-Library, Strand
2016027|Macbeth|1816|English|London|England|Printed for Longman, Hurst, Rees, Orme and Brown
2016088|The life of Henry V|1734|English|London|England|NA
2018752|Mr. William Shakespear's comedies, histories, and tragedies|1685|English|London|England|NA
2019201|The works of Shakespeare .|1740|English|London|England|Printed for H. Lintott [etc.]
2025616|Leben und Tod Richards des Dritten. Kritischer Anhang zum zwanzigsten Bande des Deutschen Shakespear|1780|Undetermined|Mannheim|Germany|NA
2030827|The works of Shakespear in eight volumes. The genuine text (collated with all the former editions, and then corrected and emended) is here settled; being restored from the blunders of the first editors and the interpolations of the two last: with a comment and notes, critical and explanatory. By Mr. Pope and Mr. Warburton|1747|Undetermined|London|England|NA
2031967|King Henry IV. with the Humours of Sir John Falstaff|1721|English|London|England|Johnson
2031968|Shakspeare's Schauspiele|1823|German|Leipzig|Germany|Brockhaus
2033505|Mr. William Shakespeare his comedies, histories, and tragedies|1767|English|London|England|Tonson
2034168|Shakespeare's works|1786|English|London|England|Bell
2034177|The dramatic works of William Shakespeare|1820|English|London|England|Walker [u.a.]
2034264|Macbeth|1815|German|Tübingen|Germany|Cotta
2034290|The works of Mr. William Shakespear|1709|English|London|England|Tonson
2034320|The Plays Of William Shakespeare|1768|English|London|England|Woodfall [u.a.]
2034339|The Dramatick Writings Of Shakspere|1788|English|London|England|Bell
2034386|The Plays and Poems Of William Shakspeare|1821|English|London|England|Rivington [u.a.]
2034548|Shakespeare|1778|French|Paris|France|Auteur;Demonville
2034553|William Shakespeare's Schauspiele|1800|German|Zürich|Germany|Orell, Füßli
2034554|William Shakespeare's Schauspiele|1802|German|Zürich|Germany|Orell, Füßli
2035692|The Dramatic Works Of William Shakspeare|1825|English|London|England|Cowie And Co.;Saunders And Otley
2035703|The Plays of William Shakespeare|1823|English|London|England|Rivington [u.a.]
2035728|La Tempesta|1815|Italian|Pisa|Italy|Capurro
2035732|Die lustigen Weiber von Windsor|1826|German|Konigsberg|NA|Univ. Buchhdl
2037294|Midsummer-night's dream. Merry wives of Windsor. Twelfth night. Much ado about nothing|1809|English|London|England|Vernor, Hood and Sharpe : Taylor and Hessey
2077616|Mr. William Shakespeares comedies, histories, and tragedies|1632|English|London|England|NA
2078145|The tragedy of Hamlet Prince of Denmark|1703|English|London|England|Printed for Rich. Wellington, at the Dolphin and Crown in Pauls Church-Yard, and E. Rumball in Covent-Garden
2082196|Mr. William Shakespeares comedies, histories, and tragedies|1632|English|London|England|NA
2082958|The family Shakespeare in eight volumes|1823|English|London|England|Longman, Hurst, Rees,, Orme, and Brown
2084254|Mr. William Shakespeares comedies, histories, & tragedies|1623|English|London|England|Printed by Isaac Iaggard, and Ed. Blount [at the charges of W. Iaggard, Ed. Blount, I. Smithweeke, and W. Aspley]
2084262|Mr. William Shakespear's comedies, histories, and tragedies|1664|English|London|England|Printed [by Roger Daniel, Alice Warren, and another] for P[hilip]. C[hetwind]
2085914|The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected; with notes, explanatory, and critical: by Mr. Theobald. Printed verbatim from the octavo edition|1773|English|London|England|Printed for C. Bathurst, J. Beecroft, W. Strahan, J. and F. Rivington [etc.]
2087298|The dramatic works of William Shakespeare, from the correct edition of Isaac Reed, Esq. With copious annotations. Vol. 1. (-12.) - Stereotype edition|1825|English|Dublin|Ireland|J. Cumming;J. Sutherland;printed for J. Walker : G. Offor : Sharpe_and sons
2087355|Tragedie di Shakspeare tradotte da Michele Leoni volume 1. [-14.|1819|Italian|Verona|Italy|dalla Societa Tipografica
2090578|All's well that ends well, by Will. Shakspere: printed complete from the text of Sam. Johnson and Geo. Steevens, and revised from the last editions|1786|English|London|England|printed for, and under the direction of, John Bell, British Library, Strand, Bookseller to his Royal Highness the prince of Wales
2091022|Shakspeares dramatische Werke. Uebersetzt von August Wilhelm von Schlegel, erganzt und erlautert von Ludwig Tieck|1825|German|Berlin|Germany|bey G. Reimer
2104931|Macbeth|1811|English|London|England|Printed by and for J. Roach at the Britannia Printing-Office
2105196|The merry wives of Windsor|1782|English|London|England|Printed for C. Bathurst, W. Strahan, J.F. and C. Rivington [etc.]
2107438|Bell's edition of Shakspere|1788|English|London|England|printed for, and under the direction of, John Bell
2110567|Macbeth|1807|English|London|England|Mathews and Leigh
2110631|The third part of Henry the Sixth|1734|English|London|England|Printed for J. Tonson
2113359|Romeo and Juliet|1734|English|London|England|NA
2113907|Hamlet, Prince of Denmark|1773|English|London|England|Printed for John Bell, near Exeter-Exchange, in the Strand, and C. Etherington, at York
2119391|Much ado about nothing|1801|English|Philadelphia Pa|USA|Printed and sold by John Bioren
2121960|The famous historie of Troylus and Cresseid|1609|English|London|England|Imprinted by G. Eld for R. Bonian and H. Walley, and are to be sold at the spred Eagle in Paules Church-yeard, ouer against the great north doore
2125282|Dramatic works of Shakespeare|1828|English|Jena|Germany|Schmid
2128983|Shakspeare's dramatische Werke|1801|German|Berlin|Germany|Unger
2129350|Shakespear's dramatische Werke|1825|German|Leipzig|Germany|Göschen
2129351|Shakespear's dramatische Werke|1825|German|Leipzig|Germany|Göschen
2129834|The plays of William Shakespeare|1804|English|London|England|Sharpe and Symonds
2130012|The Plays of William Shakspeare|1811|English|London|England|Nichols and Son;Payne [u.a.];Rivington
2130153|Willhelm Shakespears Schauspiele|1778|German|Frankfurt|Germany|Gegel
2130218|Willhelm Shakespears Schauspiele|1778|German|Strasbourg|France|Levrault
2130233|König Lear|1778|German|Hamburg|Germany|Michalsen
2130998|The Works of Shakespear|1769|English|Edinburgh|Scotland|Balfour
2131411|William Shakespeare's König Lear|1824|German|Zwickau|NA|Schumann
2131424|William Shakspeare's Tragiske Vaerker|1807|Danish|Copenhagen|Denmark|Brummer
2131430|Coriolan|1789|German|NA|NA|NA
2132573|Prolegomena, &c|1799|English|Basel|Switzerland|Tourneisen
2136360|Leben Heinrichs des Achten. Cymbeline|1779|Undetermined|Mannheim|Germany|NA
2138782|Maas für Maas. Lustspiel von Shakspeare|1827|German|Gotha|Germany|Hennings
2142122|The works of Shakespear in eight volumes. The genuine text (collated with all the former editions, and then corrected and emended) is here settled; being restored from the blunders of the first editors and the interpolations of the two last: with a comment and notes, critical and explanatory. By Mr. Pope and Mr. Warburton|1747|Undetermined|London|England|NA
2144164|The Plays Of William Shakespeare|1773|English|London|England|Bathurst
2144630|König Johann. König Richard der zweyte|1812|German|Vienna|Austria|Pichler
2144631|Die lustigen Weiber von Windsor. Gleiches mit Gleichem|1811|German|Vienna|Austria|Pichler
2145174|The plays of William Shakspeare, accurately printed from the text of the corrected copy left by the late George Stevens, with glossarial notes and a sketch of the life of Shakspeare|1811|Undetermined|London|England|F.C. & J. Rivingston and partners
2145639|The plays of William Shakspeare with the corrections and illustrations of various commentators. to which are added notes by Samuel Johnson and George Steevens. A new edition revised and augmented (with a glossarial index) [...]. [Volume the first[- twenty-third]|1799|Undetermined|Basel|Switzerland|Tourneisen J.J
2145727|The plays of William Shakspeare|1823|Undetermined|London|England|J. Rivington & partners
2151602|The plays of William Shakspeare|1823|Undetermined|London|England|NA
2159978|Le Théâtre anglois. Tome premier [- VIII]. [Notes et traduction par Pierre Antoine de La Place|1745|Undetermined|NA|NA|NA
2176277|Der Kaufmann von Venedig|1804|German|Vienna|Austria|NA
2185009|The works of Shakespear in eight volumes|1747|English|London|England|Birt [u.a.];Knaptan
2185374|The Plays and Poems of William Shakspeare|1790|English|London|England|Rivington [u.a.]
2185514|Shakespeare's works|1785|English|London|England|Bell
2185629|The Tragedy Of Macbeth|1755|English|London|England|Knapton [u.a.]
2185643|The Dramatic Works Of Shakspeare|1794|English|Oxford|England|Clarendon Press
2185675|The Plays of William Shakspeare|1803|English|London|England|Johnson [u.a.]
2185810|Shakspeare's Schauspiele|1829|German|Stuttgart|Germany|Metzler
2185872|The works of Mr. William Shakespear|1714|English|London|England|Tonson
2185878|The Dramatic Works Of William Shakspeare|1801|English|Brunswick Ma|USA|Hahn
2187186|The Dramatic Works Of William Shakspeare|1829|English|Frankfurt|Germany|Brönner
2187191|Die lustigen Weiber von Windsor|1825|German|Vienna|Austria|Sollinger
2187192|Was ihr wollt|1825|German|Vienna|Austria|Sollinger
2187194|König Heinrich der Sechste|1825|German|Vienna|Austria|Sollinger
2187215|Hamlet, Prinz von Dännemark|1778|German|Hamburg|Germany|Herold
2187227|Shakespeare's Winter's Tale|1802|English|London|England|Lowndes
2189269|Shakspeare's Sämmtliche Schauspiele|1829|German|Gotha|Germany|Flinzer
2189499|Shakspeare's dramatische Werke|1825|German|Berlin|Germany|Reimer
2191974|William Shakespear's Schauspiele / Von Joh. Joach. Eschenburg.|1775|German|Zürich|Germany|Füesslin;Gessner;Orell
2192105|Der Sturm. Ein Sommernachtstraum. Kritischer Anhang zum Ersten Bande des Deutschen Shakespear|1780|Undetermined|Mannheim|Germany|NA
2192106|Othello, Der Mohr von Venedig. Romeo und Julie|1779|Undetermined|Mannheim|Germany|NA
2200000|Mr. William Shakespeare's comedies, histories and tragedies, published according to the true original copies. Unto which is added, seven plays, never before printed in folio|1685|Undetermined|London|England|NA
2200001|Mr. William Shakespeare's comedies, histories and tragedies, published according to the true original copies. Unto which is added, seven plays, never before printed in folio|1685|Undetermined|London|England|NA
2201319|Shakespeare's works|1785|English|London|England|Bell
2201459|The Dramatick Writings Of Shakspere|1788|English|London|England|Bell
2201467|The dramatic works of Shakspeare|1802|English|London|England|Boydell [u.a.];Bulmer
2201515|The Plays and Poems Of William Shakspeare|1821|English|London|England|Rivington [u.a.]
2201651|The Works of Shakespeare: in eight Volumes|1767|English|London|England|Woodfall [u.a.]
2201703|Measure For Measure. Comedy Of Errors. Much Ado About Nothing. Love's Labour Lost|1773|English|London|England|Bathurst
2201713|Willhelm Shakespears Schauspiele|1779|German|Strasbourg|France|Levrault
2202141|Œuvres complètes de Shakspeare|1821|French|Paris|France|Ladvocat
2202579|The plays of William Shakspeare|1800|English|London|England|Bensley
2202960|Wilhelm Shakespears Schauspiele|1779|German|Frankfurt|Germany|Gegel;Levrault
2202971|The dramatic works of Shakspere|1801|English|Brunsvick|NA|NA
2204443|Bell's Edition Of Shakespeare's Plays, As they are now performed at the Theatres Royal in London|1774|English|London|England|Bell [u.a.]
2212146|Oeuvres complètes de Shakspeare|1821|French|Paris|France|chez Ladvocat
2246430|The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected; with notes, explanatory, and critical: by Mr. Theobald. Printed verbatim from the octavo edition|1773|English|London|England|Printed for C. Bathurst, J. Beecroft, W. Strahan, J. and F. Rivington [etc.]
2248912|William Shakspeare's selected plays, from the last edition of Johnson and Steevens; with brief explanatory notes, extracted from various commentators. Volume the first (-the sixth|1809|English|Avignon|France|printed and sold by Seguin freres
2249491|Oeuvres de Shakspeare, traduites de l'anglais, par Letourneur|1822|French|Paris|France|A la librairie de Brissot-Thivars, rue chabannais, n. 2, pres la rue neuve des Petits-Champs
2250965|The plays of William Shakespeare, in eight volumes, with the corrections and illustrations of various commentators; to which are added notes by Sam. Johnson|1765|English|London|England|printed for J. and R. Tonson ... [etc.!
2254314|The beauties of Shakspeare: regulary selected from each play with a general index, digesting them under proper heads, by the late rev. William Dodd .|1824|English|New York NY|USA|printed for the publisher
2260353|Richard 3., tragédie en cinqu actes; de W. Shakespeare. Conforme aux représentations données ° Paris. Anglais-français|1828|English|Paris|France|chez Madame Vergne, libraire-éditeur, place de l'Odéon, N° 1
2267637|King Lear, a tragedy: altered from Shakspeare by David Garrick, Esq. Marked with the variations in the manager's book. At the Theatre Royal in Drury Lane|1786|English|London|England|printed for C. Bathurst... [et al.]
2269286|William Shakspeare's selected plays, from the last edition of Johnson and Steevens; with brief explanatory notes, extracted from various commentators. Volume the first (-the sixth|1809|English|Avignon|France|printed and sold by Seguin freres
2277013|The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected; with notes, explanatory, and critical: by Mr. Theobald. Printed verbatim from the octavo edition|1773|English|London|England|Printed for C. Bathurst, J. Beecroft, W. Strahan, J. and F. Rivington [etc.]
2277555|The Plays of William Shakspeare. Complete in one volume. Accurately printed from the text of Isaak Reed, esq|1813|English|Boston Ma|USA|NA
2281538|The plays of William Shakespeare, in eight volumes, with the corrections and illustrations of various commentators; to which are added notes by Sam. Johnson|1765|English|London|England|printed for J. and R. Tonson ... [etc.!
2285423|The first part of Henry IV|1763|English|London|England|Printed for C. Hitch and L. Hawes, J. and R. Tonson, B. Dod, H. Woodfall, J. Rivington, R. Baldwin, T. Longman, S. Crowder and Co., W. Johnston, C. Corbet, I. Caslon and I. Lownds
2289054|Shakspeare's Tragedy of Antony and Cleopatra|1813|Undetermined|London|England|Barker
2289055|A midsommer nights dreame|1619|Undetermined|London|England|Pavier
2289056|The Tragedy of Hamlet, Prince of Denmark|1703|Undetermined|London|England|Wellington
2291460|The works of Mr. William Shakespear|1710|English|London|England|Printed for E. Curll ... and E. Sanger
2291780|As you like it|1773|English|London|England|Printed for J. Bell [etc., etc.]
2295255|Much adoe about nothing|1600|Undetermined|London|England|Wise u.a
2301476|Rape of Lucrece|1624|Undetermined|London|England|Jackson
2301477|Macbeth|1801|Undetermined|Frankfurt|Germany|NA
2303823|The works of Mr. William Shakespear|1714|English|London|England|Printed for Jacob Tonson at Shakespear's-head over-against Catherine-Street in the Strand
2306787|The dramatic works of William Shakespeare|1821|English|London|England|Sherwin
2307619|Zweyter Theil Königs Heinrich des Sechsten|1779|Undetermined|Mannheim|Germany|NA
2307712|William Shakespear's Schauspiele / Von Joh. Joach. Eschenburg.|1775|German|Zürich|Germany|Füesslin;Gessner;Orell
2307736|Ludwig Tieck's Sämmtliche Werke. Bd. 21, Alt-Englisches Theater, oder Supplemente zum Shakspear / uebers. u. hrsg. von Ludwig Tieck|1820|Undetermined|Vienna|Austria|Grund
2307846|Die beyden Veroneser. Gleiches mit Gleichem. Kritischer Anhang zum Zweyten Bande des Deutschen Shakespear|1787|Undetermined|NA|NA|NA
2311438|Six Old Plays, On Which Shakspeare Founded His Measure For Measure, Comedy Of Errors, Taming The Shrew, King John, K. Henry IV. And K. Henry V., King Lear|1779|English|London|England|Leacroft [u.a.]
2311880|Shakespeare's dramatische Werke|1830|Undetermined|Leipzig|Germany|Wigand
2312483|Shakespear Theatralische Werke|1763|German|Zürich|Germany|Orell
2314740|The Works of Shakespeare: in eight Volumes|1767|English|London|England|Woodfall [u.a.]
2315668|Mr. William Shakespeare's comedies, histories and tragedies, published according to the true original copies. Unto which is added, seven plays, never before printed in folio|1685|Undetermined|London|England|NA
2316833|The Plays and Poems of William Shakspeare|1790|English|London|England|Rivington [u.a.]
2316976|Shakespeare's works|1785|English|London|England|Bell
2317095|The works of Shakespeare|1772|English|London|England|Crowder;Wase & Payne
2317104|The Dramatic Works Of Shakspeare|1787|English|Oxford|England|Clarendon Press
2317126|The Dramatick Writings Of Shakspere|1788|English|London|England|Bell
2318155|The plays of William Shakspeare|1800|English|London|England|Bensley
2318553|The Dramatic Works Of William Shakspeare|1825|English|London|England|Cowie And Co.;Saunders And Otley
2318565|William Shakespeare|1778|Dutch|Amsterdam|Netherlands|Borchers
2318587|Macbeth|1810|German|Hannover|Germany|Hahn
2354845|Kajus Marcius Koriolanus u. Julius Caesar|1779|Undetermined|Mannheim|Germany|NA
2364067|William] Shakespeare's König Lear|1806|Undetermined|Jena|Germany|Frommann
2367395|Macbetto tragedia di G. Shakspeare recata in versi italiani da Michele Leoni|1828|Italian|Milan|Italy|per Nicolo Bettoni
2367996|10-11]: A Collection of prints from pictures painted for the purpose of illustraing the dramatic works of Shakspeare by the artists of Great-Britain. Volume 1. [-2.|1803|English|London|England|printed by W. Bulmer and co., Cleveland-Row St. James's
2375063|Otello o il moro di Venezia. Tragedia di G. Shakespeare. Ridotta per la scena italiana da Michele Leoni|1823|Italian|Torino|Italy|Tipografia Chirio e Mina
2378225|The dramatic works of William Shakespeare. With a glossary|1823|English|London|England|printed by C. Whittingham, college house : for Thomas Tegg, Cheapside : R. Jennings, Poultry : Rodwell and Martin, new bond street;J. Sutherland; and R. Griffin and co. Glasgow;N. Hailes, Piccadilly : C.S. Arnold, Tavistock street, Covent garden
2384051|Merry wives of Windsor. By Will. Shakspere: printed complete from the text of Sam. Johnson and Geo. Steevens, and revised from the last editions|1785|English|London|England|printed for, and under the direction of, John Bell, British-Library, Strand
2387209|Macbeth|1687|Undetermined|London|England|Herringman u.a
2387658|The history of Henrie the fourth|1599|Undetermined|London|England|Wise
2387659|A pleasant conceited comedie called Loves labors lost|1598|Undetermined|London|England|Burby
2390333|The merchant of Venice|1777|English|London|England|Printed for J. Wenman
2394001|The cronicle history of Henry the fifth|1608|Undetermined|London|England|P[avier]
2394002|Mr. William Shakespeares comedies, histories and tragedies|1632|Undetermined|London|England|Allot
2395105|Henry IV|1598|Undetermined|NA|NA|NA
2396323|Julius Caesar|1684|English|London|England|Printed by H.H. Jun. for Hen. Herringman, and R. Bentley in Russel-street in Covent-Garden, and sold by Joseph Knight and Francis Saunders at the Blew-Anchor in the lower walk of the New-Exchange in the Strand
2396598|The life and death of Richard III, a tragedy|1768|English|Edinburgh|Scotland|Printed by and for Martin & Wotherspoon
2400243|The most excellent and lamentable tragedie of Romeo and Juliet|1599|Undetermined|London|England|Burby
2401322|M. William Shak-speare his true chronicle historie of the life and death of King Lear and his three daughters|1608|Undetermined|London|England|Butter u.a
2402614|Julius Cæsar|1684|English|London|England|Printed by H.H. jun. for Hen. Heringman, and R. Bentley in Russel-street in Covent-Garden, and sold by Joseph Knight and Francis Saunders at the Blew-Anchor in the Lower Walk of the New-Exchange in the Strand
2402880|The life and death of King Lear, a tragedy|1768|English|Edinburgh|Scotland|Printed by and for Martin & Wotherspoon
2405916|Der heilige drei Königsabend, oder: Was ihr wollt. Lustspiel von Shakspeare. Frei bearbeitet|1828|German|Gotha|Germany|Hennings
2410275|Shakspeare's Schauspiele|1823|German|Leipzig|Germany|Brockhaus
2411199|As you like it|1808|English|London|England|Longman, Hurst, Rees & Orme
2411205|Mr. William Shakespeare's comedies, histories and tragedies, published according to the true original copies. Unto which is added, seven plays, never before printed in folio|1685|Undetermined|London|England|NA
2412038|Shakespear's dramatische Werke|1826|German|Leipzig|Germany|Göschen
2412049|The first edition of tragedy of Hamlet|1825|English|Leipzig|Germany|Fleischer
2412372|The Plays and Poems of William Shakspeare|1790|English|London|England|Rivington [u.a.]
2412702|The Plays of William Shakspeare|1803|English|London|England|Johnson [u.a.]
2412734|The Plays and Poems Of William Shakspeare|1821|English|London|England|Rivington [u.a.]
2412916|The Dramatic Works Of William Shakspeare|1801|English|Brunswick Ma|USA|Hahn
2412917|Shakespeare|1781|French|Paris|France|Auteur;Valade
2412922|Willhelm Shakespears Schauspiele|1778|German|Mannheim|Germany|Levrault
2413250|The plays of William Shakespeare, in eight volumes, with the corrections and illustrations of various commentators; to which are added notes by S. Johnson|1765|English|London|England|Corbet;Tonson;Woodfall [u.a.]
2414163|König Lear  Ein Trauerspiel in fünf Aufzügen  Nach Shakespear|1778|German|Hamburg|Germany|Michaelsen
2414170|Othello, of de Moor van Venetien|1802|Dutch|Groningen|NA|Eekhoff
2416211|Der Sturm|1825|German|Vienna|Austria|Sollinger
2421530|Ende gut, alles gut. Schauspiel von Shakspeare. Frei bearbeitet|1828|German|Gotha|Germany|Hennings
2422215|Der Sturm ; Hamlet, Prinz von Dänemark|1798|German|Berlin|Germany|Unger
2422216|Shakspeare's dramatische Werke|1801|German|Berlin|Germany|Unger
2422707|Willhelm Shakespears Schauspiele|1779|German|Frankfurt|Germany|Gegel
2439167|The life and death of Thomas, Lord Cromwell. By Mr. William Shakespear|1734|English|London|England|NA
2460745|Die lustigen Weiber von Windsor|1826|Undetermined|Konigsberg|NA|NA
2460746|Macbeth|1784|Undetermined|Göttingen|Germany|NA
2460750|Shakespeare's Romeo und Julia|1818|Undetermined|Leipzig|Germany|Brockhaus
2463560|Amor vincit omnia|1774|Undetermined|Leipzig|Germany|NA
2463561|Macbeth|1801|Undetermined|Tübingen|Germany|Cotta
2467140|Bell's Edition Of Shakespeare's Plays, As they are now performed at the Theatres Royal in London|1774|English|London|England|Bell [u.a.]
2469489|Venus and Adonis. Rape of Lucrece. Sonnets. Lover's complaint. Passionate pilgrim. Memoirs of Lord Southampton|1821|English|London|England|Rivington [u.a.]
2469490|Measure for measure. Othello|1821|English|London|England|Rivington [u.a.]
2469491|Richard II. Henry IV. ; Pt. 1|1821|English|London|England|Rivington [u.a.]
2469493|The plays of William Shakspeare|1806|English|London|England|Kearsley
2478521|Mr. William Shakespeare's comedies, histories and tragedies, published according to the true original copies. Unto which is added, seven plays, never before printed in folio|1685|Undetermined|London|England|NA
2479151|Mr. William Shakespeare his comedies, histories, and tragedies|1767|English|London|England|Tonson
2479910|Mr. William Shakespeare his comedies, histories, and tragedies|1767|English|London|England|Tonson
2479944|The Plays Of William Shakespeare|1768|English|London|England|Woodfall [u.a.]
2480007|The Plays and Poems Of William Shakspeare|1821|English|London|England|Rivington [u.a.]
2480188|The dramatic works of William Shakspeare|1830|English|London|England|Fisher
2481383|The Dramatic Works Of William Shakspeare|1825|English|London|England|Cowie And Co.;Saunders And Otley
2481394|Hamlet|1815|French|Paris|France|Nepveu
2481396|The Plays of William Shakespeare|1823|English|London|England|Rivington [u.a.]
2481397|William Shakspeare's Tragiske Vaerker|1815|Danish|Copenhagen|Denmark|Brummer
2481422|Macbeth|1777|German|Prague|Czech Republic|Gerle
2483569|Shakspeare's dramatische Werke|1826|German|Berlin|Germany|Reimer
2486429|A midsommer nights dreame|1619|English|NA|NA|Printed by Iames Roberts
2490486|The poetical works of Shakspeare|1797|English|London|England|NA
2495193|A wittie and pleasant comedie called The taming of the shrew|1631|English|London|England|Printed by W.S. for Iohn Smethwicke, and are to be sold at his shop in Saint Dunstones Churchyard vnder the Diall
2498229|Much ado about nothing|1778|English|London|England|NA
2498239|Measure for measure|1807|English|London|England|NA
2500853|The tragedy of Anthony, and Cleopatra|1632|English|London|England|NA
2501342|Much adoe about nothing|1600|English|London|England|Printed by V. S[ims] for Andrew Wise, and William Aspley
